Packing Type	Packaging Title	Qty	G.W.	N.W.	Item Code
20 X 200 GM	CB-SWAD(20 X 200 GM) --- CARDAMOM BLACK	20	4.520	4.000	05117931240
40 X 100 GM	CDP-SWA(40 X 100 GM) --- CARDAMOM POWDER	40	4.467	4.000	05117934140
40 X 100 GM	CDP-SWA(40 X 100 GM) --- CARDAMOM POWDER	40	4.467	4.000	05117934140
20 X 50 GM	CP-SWAD(20 X 50 GM) --- CARDAMOM POWDER	20	1.325	1.000	05117934145
20 X 50 GM	CP-SWAD(20 X 50 GM) --- CARDAMOM POWDER	20	1.325	1.000	05117934145
12 X 250 ML	COIL-ALL(12 X 250 ML) --- CASTOR OIL ML	12	3.308	2.868	05117920524
12 X 250 ML	COIL-ALL(12 X 250 ML) --- CASTOR OIL ML	12	3.308	2.868	05117920524
4 X 10 LBS	CF-SWAD(4 X 10 LBS) --- CHAPATI GLUTEN FREEFLOUR	4	18.983	18.160	05117916090
4 X 10 LBS	CF-SWAD(4 X 10 LBS) --- CHAPATI GLUTEN FREEFLOUR	4	18.983	18.160	05117916090
10 X 4 LBS	CF-SWAD(10 X 4 LBS) --- CHAPATI GLUTEN FREEFLOUR	10	18.895	18.160	05117916080
10 X 4 LBS	CF-SWAD(10 X 4 LBS) --- CHAPATI GLUTEN FREEFLOUR	10	18.895	18.160	05117916080
20 X 100 GM	CHW-SWA(20 X 100 GM) --- CHARGOOND WHOLE	20	2.298	2.000	05117932255
20 X 100 GM	CHW-SWA(20 X 100 GM) --- CHARGOOND WHOLE	20	2.298	2.000	05117932255
20 X 100 GM	CH-SWAD(20 X 100 GM) --- CHAROLI	20	2.300	2.000	05117931610
20 X 100 GM	CH-SWAD(20 X 100 GM) --- CHAROLI	20	2.300	2.000	05117931610
12 X 130 GM	CC-SWAD(12 X 130 GM) --- CHILLI CRUSHED	12	3.220	1.560	05117961037
12 X 130 GM	CC-SWAD(12 X 130 GM) --- CHILLI CRUSHED	12	3.220	1.560	05117961037
12 X 200 GM	CP-SWAD(12 X 200 GM) --- CHILLI POWDER	12	4.060	2.400	05117961085
12 X 200 GM	CP-SWAD(12 X 200 GM) --- CHILLI POWDER	12	4.060	2.400	05117961085
40 X 100 GM	CPF-SWA(40 X 100 GM) --- CHILLI POWDER FINE	40	4.467	4.000	05117934230
40 X 100 GM	CPF-SWA(40 X 100 GM) --- CHILLI POWDER FINE	40	4.467	4.000	05117934230
10 X 4 LBS	CHD-SWAD(10 X 4 LBS) --- CHORA DAL	10	18.860	18.160	05117910070
10 X 4 LBS	CHD-SWAD(10 X 4 LBS) --- CHORA DAL	10	18.860	18.160	05117910070
20 X 100 GM	CIP-SWAD(20 X100 GM) --- CINNAMON POWDER	20	2.300	2.000	05117934280
20 X 100 GM	CIP-SWAD(20 X100 GM) --- CINNAMON POWDER	20	2.300	2.000	05117934280
20 X 100 GM	CR-SWAD(20 X 100 GM) --- CINNAMON ROUND	20	2.440	2.000	05117931650
20 X 100 GM	CR-SWAD(20 X 100 GM) --- CINNAMON ROUND	20	2.440	2.000	05117931650
20 X 200 GM	CR-SWAD(20 X 200 GM) --- CINNAMON ROUND	20	4.700	4.000	05117931660
20 X 200 GM	CR-SWAD(20 X 200 GM) --- CINNAMON ROUND	20	4.700	4.000	05117931660
20 X 400 GM	CR-SWAD(20 X 400 GM) --- CINNAMON ROUND	20	8.920	8.000	05117931670
20 X 400 GM	CR-SWAD(20 X 400 GM) --- CINNAMON ROUND	20	8.920	8.000	05117931670
10 X 800 GM	CR-SWAD(10 X 800 GM) --- CINNAMON ROUND	10	8.765	8.000	05117931671
10 X 800 GM	CR-SWAD(10 X 800 GM) --- CINNAMON ROUND	10	8.765	8.000	05117931671
40 X 100 GM	CIS-SWA(40 X 100 GM) --- CINNAMON STICK	40	4.740	4.000	05117931691
40 X 100 GM	CIS-SWA(40 X 100 GM) --- CINNAMON STICK	40	4.740	4.000	05117931691
20 X 200 GM	CF-SWAD(20 X 200 GM) --- CINNAMON STICK	20	4.700	4.000	05117931689
20 X 200 GM	CF-SWAD(20 X 200 GM) --- CINNAMON STICK	20	4.700	4.000	05117931689
20 X 400 GM	CF-SWAD(20 X 400 GM) --- CINNAMON STICK	20	8.920	8.000	05117931690
20 X 400 GM	CF-SWAD(20 X 400 GM) --- CINNAMON STICK	20	8.920	8.000	05117931690
40 X 100 GM	CA-SWAD(40 X 100 GM) --- CITRIC ACID	40	4.380	4.000	05117934320
20 X 100 GM	CA-SWAD(20 X 100 GM) --- CITRIC ACID	20	2.325	2.000	05117934320
40 X 100 GM	CA-SWAD(40 X 100 GM) --- CITRIC ACID	40	4.380	4.000	05117934320
20 X 100 GM	CA-SWAD(20 X 100 GM) --- CITRIC ACID	20	2.325	2.000	05117934320
20 X 100 GM	CLP-SWAD(20X100 GM) --- CLOVE POWDER	20	2.210	2.000	05117934370
20 X 100 GM	CLP-SWAD(20X100 GM) --- CLOVE POWDER	20	2.210	2.000	05117934370
1 X 10 KG	CH-ALL(1 X 10 KG) --- COCONUT HALVES	1	10.904	10.000	Not Available
1 X 10 KG	CH-ALL(1 X 10 KG) --- COCONUT HALVES	1	10.904	10.000	Not Available
1 X 5 LBS	CH-SWAD(1 X 5 LBS) --- COCONUT HALVES	1	2.500	2.270	05117929155
1 X 5 LBS	CH-SWAD(1 X 5 LBS) --- COCONUT HALVES	1	2.500	2.270	05117929155
20 X 200 GM	COS-SWA(20 X 200 GM) --- COCONUT SLICE	20	4.520	4.000	05117919160
20 X 200 GM	COS-SWA(20 X 200 GM) --- COCONUT SLICE	20	4.520	4.000	05117919160
1 X 10 KG	CW -ALL(1 X 10 KG) --- COCONUT WHOLE	1	10.904	10.000	N00534
1 X 10 KG	CW -ALL(1 X 10 KG) --- COCONUT WHOLE	1	10.904	10.000	N00534
1 X 5 LBS	CW-SWAD(1 X 5 LBS) --- COCONUT WHOLE	1	2.500	2.270	05117932927
1 X 5 LBS	CW-SWAD(1 X 5 LBS) --- COCONUT WHOLE	1	2.500	2.270	05117932927
20 X 200 GM	CCP-SWAD(20 X200 GM) --- CORIANDER CUMIN POWDER	20	4.380	4.000	05117934510
20 X 200 GM	CCP-SWAD(20 X200 GM) --- CORIANDER CUMIN POWDER	20	4.380	4.000	05117934510
12 X 280 GM	CCP-NY(12 X 280 GM) --- CORIANDER CUMIN POWDER (12 X 280 GM)	12	4.300	3.360	05117998076
12 X 280 GM	CCP-NY(12 X 280 GM) --- CORIANDER CUMIN POWDER (12 X 280 GM)	12	4.300	3.360	05117998076
20 X 400 GM	CCP-SWAD(20 X400 GM) --- CORIANDER CUMIN POWDER	20	8.520	8.000	05117934520
20 X 400 GM	CCP-SWAD(20 X400 GM) --- CORIANDER CUMIN POWDER	20	8.520	8.000	05117934520
5 X 56 OZ	CCP-SWAD(5 X 56 OZ) --- CORIANDER CUMIN POWDER6	5	8.387	8.000	05117934542
5 X 56 OZ	CCP-SWAD(5 X 56 OZ) --- CORIANDER CUMIN POWDER6	5	8.387	8.000	05117934542
10 X 800 GM	CCP-SWAD(10X800 GM) --- CORIANDER CUMIN POWDER	10	8.490	8.000	05117934530
10 X 800 GM	CCP-SWAD(10X800 GM) --- CORIANDER CUMIN POWDER	10	8.490	8.000	05117934530
40 X 100 GM	COP-SWA(40 X 100 GM) --- CORIANDER POWDER	40	4.475	4.000	05117934425
40 X 100 GM	COP-SWA(40 X 100 GM) --- CORIANDER POWDER	40	4.475	4.000	05117934425
12 X 150 GM	COP-SWA(12 X 150 GM) --- CORIANDER POWDER	12	3.460	1.800	05117961029
12 X 150 GM	COP-SWA(12 X 150 GM) --- CORIANDER POWDER	12	3.460	1.800	05117961029
20 X 200 GM	COP-SWAD(20 X200 GM) --- CORIANDER POWDER	20	4.380	4.000	05117934420
